Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
Le Mans Ultimate.exe,21508,0x12DA52480A0,DXGI,1,512,0,Hardware Composed: Independent Flip,16.2337,15.8548,15.4758,0.3790,2.7033,17.4777,6.2593,11.2184,25.5503,16.6844,NA,16.2337,NA,NA,NA
Le Mans Ultimate.exe,21508,0x12DA52480A0,DXGI,1,512,0,Hardware Composed: Independent Flip,32.0885,15.8422,15.5276,0.3146,4.3262,15.5525,7.2936,8.2589,NA,NA,NA,32.0885,NA,NA,NA
