"timestamp","pid","role","cpuPct","privateBytes"
"2026-08-30T20:34:55.9369655+02:00","20076","gpu-process","0","203079680"
"2026-08-30T20:34:55.9369655+02:00","22948","utility","0","13901824"
"2026-08-30T20:34:55.9369655+02:00","15756","utility","0","9453568"
"2026-08-30T20:34:55.9369655+02:00","29848","renderer-unassigned","0","61104128"
"2026-08-30T20:34:55.9369655+02:00","13832","crashpad","0","2433024"
"2026-08-30T20:34:55.9369655+02:00","6008","browser","0","49459200"
"2026-08-30T20:34:55.9369655+02:00","23144","go-host","0","71303168"
"2026-08-30T20:34:55.9369655+02:00","27288","renderer-unassigned","0","56369152"
"2026-08-30T20:35:56.0580136+02:00","20076","gpu-process","0","190898176"
"2026-08-30T20:35:56.0580136+02:00","22948","utility","0","14295040"
"2026-08-30T20:35:56.0580136+02:00","15756","utility","0","9199616"
"2026-08-30T20:35:56.0580136+02:00","29848","renderer-unassigned","1","101646336"
"2026-08-30T20:35:56.0580136+02:00","13832","crashpad","0","3039232"
"2026-08-30T20:35:56.0580136+02:00","6008","browser","1","47214592"
"2026-08-30T20:35:56.0580136+02:00","23144","go-host","2","73961472"
"2026-08-30T20:35:56.0580136+02:00","27288","renderer-unassigned","0","67780608"
"2026-08-30T20:36:55.9449689+02:00","20076","gpu-process","0","201601024"
"2026-08-30T20:36:55.9449689+02:00","22948","utility","0","14704640"
"2026-08-30T20:36:55.9449689+02:00","15756","utility","0","9199616"
"2026-08-30T20:36:55.9449689+02:00","29848","renderer-unassigned","1","115068928"
"2026-08-30T20:36:55.9449689+02:00","13832","crashpad","0","3039232"
"2026-08-30T20:36:55.9449689+02:00","6008","browser","1","47804416"
"2026-08-30T20:36:55.9449689+02:00","23144","go-host","2","74174464"
"2026-08-30T20:36:55.9449689+02:00","27288","renderer-unassigned","0","76566528"
"2026-08-30T20:37:56.0095582+02:00","20076","gpu-process","0","203997184"
"2026-08-30T20:37:56.0095582+02:00","22948","utility","0","15753216"
"2026-08-30T20:37:56.0095582+02:00","15756","utility","0","9203712"
"2026-08-30T20:37:56.0095582+02:00","29848","renderer-unassigned","1","128909312"
"2026-08-30T20:37:56.0095582+02:00","13832","crashpad","0","2953216"
"2026-08-30T20:37:56.0095582+02:00","6008","browser","1","49479680"
"2026-08-30T20:37:56.0095582+02:00","23144","go-host","2","74141696"
"2026-08-30T20:37:56.0095582+02:00","27288","renderer-unassigned","0","85282816"
"2026-08-30T20:38:55.9586781+02:00","20076","gpu-process","0","209117184"
"2026-08-30T20:38:55.9586781+02:00","22948","utility","0","15740928"
"2026-08-30T20:38:55.9586781+02:00","15756","utility","0","9203712"
"2026-08-30T20:38:55.9586781+02:00","29848","renderer-unassigned","1","136548352"
"2026-08-30T20:38:55.9586781+02:00","13832","crashpad","0","2891776"
"2026-08-30T20:38:55.9586781+02:00","6008","browser","1","49541120"
"2026-08-30T20:38:55.9586781+02:00","23144","go-host","2","74952704"
"2026-08-30T20:38:55.9586781+02:00","27288","renderer-unassigned","0","92037120"
"2026-08-30T20:39:56.0575148+02:00","20076","gpu-process","0","196603904"
"2026-08-30T20:39:56.0575148+02:00","22948","utility","0","15831040"
"2026-08-30T20:39:56.0575148+02:00","15756","utility","0","9330688"
"2026-08-30T20:39:56.0575148+02:00","29848","renderer-unassigned","1","146550784"
"2026-08-30T20:39:56.0575148+02:00","13832","crashpad","0","2965504"
"2026-08-30T20:39:56.0575148+02:00","6008","browser","1","50143232"
"2026-08-30T20:39:56.0575148+02:00","23144","go-host","2","76099584"
"2026-08-30T20:39:56.0575148+02:00","27288","renderer-unassigned","0","99610624"
"2026-08-30T20:40:55.9781445+02:00","20076","gpu-process","0","206807040"
"2026-08-30T20:40:55.9781445+02:00","22948","utility","0","17100800"
"2026-08-30T20:40:55.9781445+02:00","15756","utility","0","9302016"
"2026-08-30T20:40:55.9781445+02:00","29848","renderer-unassigned","1","152903680"
"2026-08-30T20:40:55.9781445+02:00","13832","crashpad","0","2965504"
"2026-08-30T20:40:55.9781445+02:00","6008","browser","1","51376128"
"2026-08-30T20:40:55.9781445+02:00","23144","go-host","2","76341248"
"2026-08-30T20:40:55.9781445+02:00","27288","renderer-unassigned","0","102400000"
"2026-08-30T20:41:56.0328245+02:00","20076","gpu-process","0","202993664"
"2026-08-30T20:41:56.0328245+02:00","22948","utility","0","16957440"
"2026-08-30T20:41:56.0328245+02:00","15756","utility","0","9256960"
"2026-08-30T20:41:56.0328245+02:00","29848","renderer-unassigned","1","155021312"
"2026-08-30T20:41:56.0328245+02:00","13832","crashpad","0","2899968"
"2026-08-30T20:41:56.0328245+02:00","6008","browser","1","52174848"
"2026-08-30T20:41:56.0328245+02:00","23144","go-host","2","76525568"
"2026-08-30T20:41:56.0328245+02:00","27288","renderer-unassigned","0","105992192"
"2026-08-30T20:42:56.0232494+02:00","20076","gpu-process","0","197447680"
"2026-08-30T20:42:56.0232494+02:00","22948","utility","0","18100224"
"2026-08-30T20:42:56.0232494+02:00","15756","utility","0","9228288"
"2026-08-30T20:42:56.0232494+02:00","29848","renderer-unassigned","1","165908480"
"2026-08-30T20:42:56.0232494+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:42:56.0232494+02:00","6008","browser","1","53555200"
"2026-08-30T20:42:56.0232494+02:00","23144","go-host","2","75829248"
"2026-08-30T20:42:56.0232494+02:00","27288","renderer-unassigned","0","107577344"
"2026-08-30T20:43:56.1204082+02:00","20076","gpu-process","0","233934848"
"2026-08-30T20:43:56.1204082+02:00","22948","utility","0","18116608"
"2026-08-30T20:43:56.1204082+02:00","15756","utility","0","9228288"
"2026-08-30T20:43:56.1204082+02:00","29848","renderer-unassigned","1","176586752"
"2026-08-30T20:43:56.1204082+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:43:56.1204082+02:00","6008","browser","1","53727232"
"2026-08-30T20:43:56.1204082+02:00","23144","go-host","2","77324288"
"2026-08-30T20:43:56.1204082+02:00","27288","renderer-unassigned","0","114720768"
"2026-08-30T20:44:56.0875895+02:00","20076","gpu-process","1","221581312"
"2026-08-30T20:44:56.0875895+02:00","22948","utility","0","15798272"
"2026-08-30T20:44:56.0875895+02:00","15756","utility","0","9302016"
"2026-08-30T20:44:56.0875895+02:00","29848","renderer-unassigned","2","138878976"
"2026-08-30T20:44:56.0875895+02:00","13832","crashpad","0","2961408"
"2026-08-30T20:44:56.0875895+02:00","6008","browser","1","50847744"
"2026-08-30T20:44:56.0875895+02:00","23144","go-host","2","77320192"
"2026-08-30T20:44:56.0875895+02:00","27288","renderer-unassigned","0","118796288"
"2026-08-30T20:45:55.9887814+02:00","20076","gpu-process","0","210247680"
"2026-08-30T20:45:55.9887814+02:00","22948","utility","0","16437248"
"2026-08-30T20:45:55.9887814+02:00","15756","utility","0","9302016"
"2026-08-30T20:45:55.9887814+02:00","29848","renderer-unassigned","1","178720768"
"2026-08-30T20:45:55.9887814+02:00","13832","crashpad","0","2961408"
"2026-08-30T20:45:55.9887814+02:00","6008","browser","1","51728384"
"2026-08-30T20:45:55.9887814+02:00","23144","go-host","2","77688832"
"2026-08-30T20:45:55.9887814+02:00","27288","renderer-unassigned","0","124678144"
"2026-08-30T20:46:56.0471182+02:00","20076","gpu-process","0","221122560"
"2026-08-30T20:46:56.0471182+02:00","22948","utility","0","16887808"
"2026-08-30T20:46:56.0471182+02:00","15756","utility","0","9228288"
"2026-08-30T20:46:56.0471182+02:00","29848","renderer-unassigned","1","192778240"
"2026-08-30T20:46:56.0471182+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:46:56.0471182+02:00","6008","browser","1","52961280"
"2026-08-30T20:46:56.0471182+02:00","23144","go-host","2","77611008"
"2026-08-30T20:46:56.0471182+02:00","27288","renderer-unassigned","0","137601024"
"2026-08-30T20:47:56.0993861+02:00","20076","gpu-process","0","221114368"
"2026-08-30T20:47:56.0993861+02:00","22948","utility","0","18063360"
"2026-08-30T20:47:56.0993861+02:00","15756","utility","0","9228288"
"2026-08-30T20:47:56.0993861+02:00","29848","renderer-unassigned","1","207294464"
"2026-08-30T20:47:56.0993861+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:47:56.0993861+02:00","6008","browser","1","54476800"
"2026-08-30T20:47:56.0993861+02:00","23144","go-host","2","80277504"
"2026-08-30T20:47:56.0993861+02:00","27288","renderer-unassigned","0","145006592"
"2026-08-30T20:48:56.0499456+02:00","20076","gpu-process","0","213807104"
"2026-08-30T20:48:56.0499456+02:00","22948","utility","0","18067456"
"2026-08-30T20:48:56.0499456+02:00","15756","utility","0","9207808"
"2026-08-30T20:48:56.0499456+02:00","29848","renderer-unassigned","1","220585984"
"2026-08-30T20:48:56.0499456+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:48:56.0499456+02:00","6008","browser","1","54517760"
"2026-08-30T20:48:56.0499456+02:00","23144","go-host","2","79773696"
"2026-08-30T20:48:56.0499456+02:00","27288","renderer-unassigned","0","148713472"
"2026-08-30T20:49:55.9763069+02:00","20076","gpu-process","0","228982784"
"2026-08-30T20:49:55.9763069+02:00","22948","utility","0","15757312"
"2026-08-30T20:49:55.9763069+02:00","15756","utility","0","9424896"
"2026-08-30T20:49:55.9763069+02:00","29848","renderer-unassigned","2","226521088"
"2026-08-30T20:49:55.9763069+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:49:55.9763069+02:00","6008","browser","1","51548160"
"2026-08-30T20:49:55.9763069+02:00","23144","go-host","2","80568320"
"2026-08-30T20:49:55.9763069+02:00","27288","renderer-unassigned","0","149626880"
"2026-08-30T20:50:56.1144609+02:00","20076","gpu-process","0","220487680"
"2026-08-30T20:50:56.1144609+02:00","22948","utility","0","16400384"
"2026-08-30T20:50:56.1144609+02:00","15756","utility","0","9306112"
"2026-08-30T20:50:56.1144609+02:00","29848","renderer-unassigned","2","233525248"
"2026-08-30T20:50:56.1144609+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:50:56.1144609+02:00","6008","browser","1","52449280"
"2026-08-30T20:50:56.1144609+02:00","23144","go-host","2","80957440"
"2026-08-30T20:50:56.1144609+02:00","27288","renderer-unassigned","0","149647360"
"2026-08-30T20:51:56.0242378+02:00","20076","gpu-process","0","214777856"
"2026-08-30T20:51:56.0242378+02:00","22948","utility","0","16945152"
"2026-08-30T20:51:56.0242378+02:00","15756","utility","0","9306112"
"2026-08-30T20:51:56.0242378+02:00","29848","renderer-unassigned","2","210378752"
"2026-08-30T20:51:56.0242378+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:51:56.0242378+02:00","6008","browser","1","53129216"
"2026-08-30T20:51:56.0242378+02:00","23144","go-host","2","81633280"
"2026-08-30T20:51:56.0242378+02:00","27288","renderer-unassigned","0","161329152"
"2026-08-30T20:52:56.0850495+02:00","20076","gpu-process","0","216600576"
"2026-08-30T20:52:56.0850495+02:00","22948","utility","0","18128896"
"2026-08-30T20:52:56.0850495+02:00","15756","utility","0","9306112"
"2026-08-30T20:52:56.0850495+02:00","29848","renderer-unassigned","1","170930176"
"2026-08-30T20:52:56.0850495+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:52:56.0850495+02:00","6008","browser","1","54718464"
"2026-08-30T20:52:56.0850495+02:00","23144","go-host","2","81248256"
"2026-08-30T20:52:56.0850495+02:00","27288","renderer-unassigned","0","165117952"
"2026-08-30T20:53:56.0892764+02:00","20076","gpu-process","0","220758016"
"2026-08-30T20:53:56.0892764+02:00","22948","utility","0","18128896"
"2026-08-30T20:53:56.0892764+02:00","15756","utility","0","9306112"
"2026-08-30T20:53:56.0892764+02:00","29848","renderer-unassigned","2","177532928"
"2026-08-30T20:53:56.0892764+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:53:56.0892764+02:00","6008","browser","1","54796288"
"2026-08-30T20:53:56.0892764+02:00","23144","go-host","2","81907712"
"2026-08-30T20:53:56.0892764+02:00","27288","renderer-unassigned","0","156360704"
"2026-08-30T20:54:56.1286260+02:00","20076","gpu-process","0","230514688"
"2026-08-30T20:54:56.1286260+02:00","22948","utility","0","15761408"
"2026-08-30T20:54:56.1286260+02:00","15756","utility","0","9306112"
"2026-08-30T20:54:56.1286260+02:00","29848","renderer-unassigned","1","167735296"
"2026-08-30T20:54:56.1286260+02:00","13832","crashpad","0","2895872"
"2026-08-30T20:54:56.1286260+02:00","6008","browser","1","51122176"
"2026-08-30T20:54:56.1286260+02:00","23144","go-host","2","82202624"
"2026-08-30T20:54:56.1286260+02:00","27288","renderer-unassigned","0","169697280"
