snapshot,variant,classification,run,component,seconds,commits,commitsPerSecond,meanMs,p95Ms,domMutationsWholeFixture,listenersAfter50,subscriptionsAfter50
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,1,track-map,1.5109000000059605,27,17.870143622935657,2.83703703350491,3.5,2390,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,1,pedals,1.5109000000059605,51,33.7547157322118,0.8627450983313953,1.3999999910593033,2390,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,1,standings,1.5109000000059605,8,5.294857369758714,3.5625000055879354,3.9000000059604645,2390,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,2,track-map,1.5082000000029803,28,18.565177032187158,2.2321428566106727,2.7999999970197678,2478,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,2,pedals,1.5082000000029803,51,33.81514388005518,0.7999999993572048,1.199999988079071,2478,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,2,standings,1.5082000000029803,8,5.304336294910616,3.6500000040978193,4.299999997019768,2478,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,3,track-map,1.5065999999940396,27,17.92114695347592,2.6148148118345826,3.2999999970197678,2388,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,3,pedals,1.5065999999940396,50,33.18730917310355,0.8260000005364418,1.2000000029802322,2388,159,0
NEXT_CANDIDATE,base,MEASURED-MAC-AUXILIARY,3,standings,1.5065999999940396,8,5.309969467696568,4.025000002235174,4.5,2388,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,1,track-map,1.5061000000089406,28,18.591063010313913,2.2999999996806895,2.9000000059604645,2476,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,1,pedals,1.5061000000089406,50,33.19832680413199,0.9159999990463257,1.2999999970197678,2476,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,1,standings,1.5061000000089406,8,5.311732288661118,3.925000002607703,4.9000000059604645,2476,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,2,track-map,1.5070999999940395,28,18.578727357249512,2.0142857134342194,2.800000011920929,2478,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,2,pedals,1.5070999999940395,51,33.8398248292759,0.8784313716140448,1.2999999970197678,2478,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,2,standings,1.5070999999940395,8,5.308207816357003,3.6624999959021807,4.4000000059604645,2478,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,3,track-map,1.5682999999970197,29,18.491360071450046,2.006896552340738,2.7000000029802322,2568,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,3,pedals,1.5682999999970197,52,33.15692150742767,0.8211538485036447,1.2999999970197678,2568,159,0
NEXT_CANDIDATE,cache,MEASURED-MAC-AUXILIARY,3,standings,1.5682999999970197,8,5.1010648472965645,3.199999999254942,3.6000000089406967,2568,159,0
