session_id,date_utc,track,layout,car,class,session_type,weatherconditions,duration_s,continuous_span_s,laps,source_bytes,catalog_continuous,catalog_events
S253-2713de05,2026-07-02T17:59:10Z,Circuit of the Americas,COTA National Circuit,Proton Competition 2025 #77:LM,GT3,Practice,Light Clouds,855.64,681.0,6,15953920,56,42
S254-d173f8c9,2026-07-02T18:13:32Z,Circuit of the Americas,COTA National Circuit,Proton Competition 2025 #77:LM,GT3,Qualify,Partially Cloudy,56.13,6.0,0,1617920,56,42
S255-ef04cd2f,2026-07-02T18:13:50Z,Circuit of the Americas,COTA National Circuit,Proton Competition 2025 #77:LM,GT3,Qualify,Partially Cloudy,565.14,518.0,5,13119488,56,42
S256-ea514684,2026-07-02T18:23:20Z,Circuit of the Americas,COTA National Circuit,Proton Competition 2025 #77:LM,GT3,Race,Partially Cloudy,394.0,394.0,2,11202560,56,42
S257-6abb7f8a,2026-07-10T23:39:52Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,3639.105,47.0,0,2469888,56,42
S258-b69e394f,2026-07-10T23:48:20Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,4147.538,526.0,5,13201408,56,42
S259-a73ab964,2026-07-11T00:02:19Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,4986.307,30.0,0,2060288,56,42
S260-b9a65506,2026-07-11T00:03:02Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Clear,6420.46,1406.0,14,30339072,56,42
S261-8d92b206,2026-07-11T00:27:40Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,6724.2,477.0,4,11546624,56,42
S262-14fb500c,2026-07-11T00:36:19Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,7026.703,247.0,2,7434240,56,42
S263-cef18650,2026-07-11T11:35:41Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Partially Cloudy,715.115,55.0,0,2781184,56,42
S264-594b8730,2026-07-11T11:37:35Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Partially Cloudy,828.3,215.0,1,6909952,56,42
S265-d206b44e,2026-07-11T11:41:18Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Partially Cloudy,1744.76,861.0,8,21458944,56,42
S266-6b912640,2026-07-11T12:10:37Z,Algarve International Circuit,Algarve International Circuit,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Race,Clear,16840.14,6855.0,70,187297792,56,42
S267-ea534fc0,2026-07-16T14:48:19Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,4220.13,33.0,0,2093056,56,42
S268-8afef1ce,2026-07-16T14:50:03Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,4323.738,354.0,2,9302016,56,42
S269-b68f7ad0,2026-07-17T15:45:25Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,2226.097,35.0,0,2109440,56,42
S270-cb044c73,2026-07-17T15:46:11Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,2540.18,719.0,5,17281024,56,42
S271-bd9b316b,2026-07-17T15:58:33Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,3273.06,658.0,5,15708160,56,42
S272-2a00fc3a,2026-07-17T16:09:48Z,Circuit of the Americas,Circuit of the Americas,Oreca 07 ELMS Custom Team 2025 #397,LMP2_ELMS,Practice,Light Clouds,4300.08,774.0,6,19083264,56,42
