"condition","second","cpuPct","privateMB","processCount"
"off","1","1,9506242996478516","263,06640625","8"
"off","2","2,6526349890369403","262,13671875","8"
"off","3","1,4957991962775536","261,8359375","8"
"off","4","2,736361507242208","263,80859375","8"
"off","5","1,3945865005811815","263,08984375","8"
"off","6","1,2656012795945775","269,8515625","8"
"off","7","0,8498144979938982","270,12890625","8"
"off","8","1,7295911929031969","262,88671875","8"
"off","9","2,5194220628285646","263,65234375","8"
"off","10","2,6375957053561043","265,90625","8"
"off","11","2,21316487653631","265,796875","8"
"off","12","3,217368833541211","263,21875","8"
"off","13","1,7558637984598742","262,76953125","8"
"off","14","1,6522610333065062","263,33984375","8"
"off","15","1,528940655416658","264,02734375","8"
"off","16","1,3522606162627377","266,39453125","8"
"off","17","1,4800250007289053","264,64453125","8"
"off","18","1,700088986319274","268,15234375","8"
"off","19","0,5977401953288716","271,48828125","8"
"off","20","1,5356218786335447","270,6015625","8"
"off","21","2,0932952941261074","267,09375","8"
"off","22","1,7806468456250821","264,1953125","8"
"off","23","1,6864329527831348","266,859375","8"
"off","24","2,0382470272586835","266,8046875","8"
"off","25","2,227142059633284","266,703125","8"
"off","26","2,7786772080535838","267,01171875","8"
"off","27","2,2268747078340385","267,16015625","8"
"off","28","1,784504357769159","266,2578125","8"
"off","29","1,3874391006730746","267,0859375","8"
"off","30","3,0452653945230708","266,83203125","8"
"off","31","1,3677433204911515","267,77734375","8"
"off","32","1,904291490086842","269,83984375","8"
"off","33","1,7911362769844472","266,47265625","8"
"off","34","1,2226960296241676","270,67578125","8"
"off","35","2,1995272534220853","267,3125","8"
"off","36","1,398566499422811","268,1953125","8"
"off","37","2,21304634474145","268,38671875","8"
"off","38","1,655443871358856","268,02734375","8"
"off","39","1,6652791243806302","268,44140625","8"
"off","40","1,3361372270502403","268,46484375","8"
"off","41","2,145600809116936","267,859375","8"
"off","42","2,1685042497330187","268,4609375","8"
"off","43","2,12285910993132","268,1640625","8"
"off","44","2,289352212628031","268,3671875","8"
"off","45","2,191596180925998","269,16796875","8"
"off","46","2,5001850318755228","270,1640625","8"
"off","47","1,3444306340001113","268,56640625","8"
"off","48","1,8192705049347933","268,76171875","8"
"off","49","1,6598164618585938","269,54296875","8"
"off","50","2,4123302326780123","269,05078125","8"
"off","51","2,238916080901398","269,33984375","8"
"off","52","2,2993561873717536","269,62890625","8"
"off","53","1,9805123165177339","269,28125","8"
"off","54","1,945271192016601","268,90625","8"
"off","55","2,657464992994797","269,6171875","8"
"off","56","1,9453579960874545","269,0703125","8"
"off","57","2,098611223037043","269,859375","8"
"off","58","1,4279143526317546","270,265625","8"
"off","59","1,0057415035325596","271,35546875","8"
"off","60","1,1810935883041194","269,890625","8"
"on","1","2,9140866614013414","270,0625","9"
"on","2","1,4331242967975872","269,5625","9"
"on","3","2,1740559856337986","272,40234375","9"
"on","4","2,185001057989998","272,609375","9"
"on","5","2,0051387812181054","272,88671875","9"
"on","6","0,7900034101488295","272,703125","9"
"on","7","2,262763617158456","272,03125","9"
"on","8","1,975416388696608","270,9921875","9"
"on","9","1,6847802601887087","271,0546875","9"
"on","10","2,0912262001213855","271,8359375","9"
"on","11","2,466695046327372","272,67578125","9"
"on","12","2,0577063419801065","273,03125","9"
"on","13","2,424857574817025","272,5625","9"
"on","14","2,1639769866824485","271,0390625","9"
"on","15","2,5374186946878083","271,890625","9"
"on","16","2,3697179907724264","271,4609375","9"
"on","17","2,2378244177453723","273,5546875","9"
"on","18","2,1091278463728824","270,625","9"
"on","19","2,052074451534169","273,2578125","9"
"on","20","1,863446779045659","273,95703125","9"
"on","21","1,5664028194286441","274,95703125","9"
"on","22","2,4032271631966795","273,0078125","9"
"on","23","1,1126127016903615","273,91015625","9"
"on","24","1,482411338644378","273,953125","9"
"on","25","2,464212737613446","274,50390625","9"
"on","26","1,9475415606407729","274,30078125","9"
"on","27","2,036460719739463","275,91796875","9"
"on","28","2,2688190109919746","274,63671875","9"
"on","29","2,304603499432707","274,59765625","9"
"on","30","1,5919998852333652","274,81640625","9"
"on","31","1,7074550644139732","274,05078125","9"
"on","32","2,2408295931198428","274,203125","9"
"on","33","2,417657200377822","275,71484375","9"
"on","34","1,8166334318582633","274,86328125","9"
"on","35","2,2392323328930033","277,39453125","9"
"on","36","2,131687012185332","293,42578125","9"
"on","37","2,0152565097714006","280,55078125","9"
"on","38","3,3616712156701953","275,4765625","9"
"on","39","2,467455871067054","275,44140625","9"
"on","40","1,9410813808428034","275,66796875","9"
"on","41","2,6261821057403885","275,78125","9"
"on","42","2,1358262685727145","275,71484375","9"
"on","43","2,1926980522323625","275,375","9"
"on","44","2,160600415990673","275,9296875","9"
"on","45","1,7446693664014572","276,77734375","9"
"on","46","1,6222143594573697","276,72265625","9"
"on","47","2,2050331891011465","277,09375","9"
"on","48","2,149747954504948","277,3359375","9"
"on","49","1,8315902285559582","279,578125","9"
"on","50","2,791005240599835","278,890625","9"
"on","51","0,8661194257754776","281,63671875","9"
"on","52","0,49040853714659827","282,01171875","9"
"on","53","1,802274500050943","279,421875","9"
"on","54","2,0489534210452254","277,265625","9"
"on","55","2,046321927991431","277,8203125","9"
"on","56","2,8979031416984387","278,03125","9"
"on","57","1,5349277852087384","277,94140625","9"
"on","58","2,0467376241835464","277,6640625","9"
"on","59","3,284024502755066","278,80859375","9"
"on","60","2,0266495954915493","277,9140625","9"
