candidate,probe,boundary,status,detail,integrity_state,access_mode,recovery_integrity_state,volatile_accepted,persisted_accepted_watermark,backend_committed,recovered,commit_ns,original_preserved,incomplete_visible,original_sha256,after_sha256
sqlite,concurrent_reader,,PASS,committed checkpoint remained readable while writer stayed open,,,,200,200,200,200,0,false,false,,
sqlite,tail_truncation,,PASS,truncated copy rejected/partial without mutating original: query sqlite records: database disk image is malformed (11),,,,210,210,210,0,0,true,true,0b6b5ea4d9ca5b84ebf4f0841d40ff527d015f5c4adc4a9ef56e3b171fc5c879,0b6b5ea4d9ca5b84ebf4f0841d40ff527d015f5c4adc4a9ef56e3b171fc5c879
sqlite,disk_full,,BLOCKED_ENV,no isolated Windows volume quota or injectable database VFS; filling the host disk is unsafe,,,,0,0,0,0,0,false,false,,
sqlite,writer_slow,,DEFERRED_TC06B,"a synthetic sleep measures the recorder queue/coordinator, not this backend; TC-06B must inject a slow store",,,,0,0,0,0,0,false,false,,
sqlite,permissions,,BLOCKED_ENV,a deterministic denial requires mutating Windows ACLs; TC-06B must use an isolated ACL fixture or injectable filesystem,,,,0,0,0,0,0,false,false,,
sqlite,deterministic_kill,before_append,PASS_BACKEND_LIMIT,"benchmark-only manifest stayed recording, so startup classifies the copied session incomplete",recording,read_write,incomplete,200,200,200,200,0,true,true,03fac1f253501395c5f7df561a77c7e27ddc77a37aa421490fc1026f5ad72d64,03fac1f253501395c5f7df561a77c7e27ddc77a37aa421490fc1026f5ad72d64
sqlite,deterministic_kill,before_commit,PASS_BACKEND_LIMIT,"benchmark-only manifest stayed recording, so startup classifies the copied session incomplete",recording,read_write,incomplete,240,200,200,200,0,true,true,731f5a34e76845d5da83de8b401333d9e3badb09f85538c74800ae9992cf2440,731f5a34e76845d5da83de8b401333d9e3badb09f85538c74800ae9992cf2440
sqlite,deterministic_kill,after_commit_before_manifest,PASS_BACKEND_LIMIT,backend commit is ahead of the last persisted acceptance watermark; recovery must validate the copy and must not infer an exact accepted-loss count,recording,read_write,incomplete,240,200,240,240,3786800,true,true,e7606b3c34f41d5e69b2a8d6d2e94261431d631ff7ee2680c940cda6380f02ce,e7606b3c34f41d5e69b2a8d6d2e94261431d631ff7ee2680c940cda6380f02ce
sqlite,deterministic_kill,after_manifest_replace,PASS_BACKEND_LIMIT,"benchmark-only manifest stayed recording, so startup classifies the copied session incomplete",recording,read_write,incomplete,240,240,240,240,3773100,true,true,c4168eeff44036b3c6ccccf6d1102493d073432d569aff8c0987ec2837c97768,c4168eeff44036b3c6ccccf6d1102493d073432d569aff8c0987ec2837c97768
