candidate,probe,boundary,status,detail,integrity_state,access_mode,recovery_integrity_state,volatile_accepted,persisted_accepted_watermark,backend_committed,recovered,commit_ns,original_preserved,incomplete_visible,original_sha256,after_sha256
framing,concurrent_reader,,PASS,committed checkpoint remained readable while writer stayed open,,,,200,200,200,200,0,false,false,,
framing,tail_truncation,,PASS,truncated copy rejected/partial without mutating original: unexpected EOF,,,,210,210,210,0,0,true,true,8090209bcfc02a7144da873819735457ad4c609c43aa42aef60ea8a3229708a6,8090209bcfc02a7144da873819735457ad4c609c43aa42aef60ea8a3229708a6
framing,disk_full,,BLOCKED_ENV,no isolated Windows volume quota or injectable database VFS; filling the host disk is unsafe,,,,0,0,0,0,0,false,false,,
framing,writer_slow,,DEFERRED_TC06B,"a synthetic sleep measures the recorder queue/coordinator, not this backend; TC-06B must inject a slow store",,,,0,0,0,0,0,false,false,,
framing,permissions,,BLOCKED_ENV,a deterministic denial requires mutating Windows ACLs; TC-06B must use an isolated ACL fixture or injectable filesystem,,,,0,0,0,0,0,false,false,,
framing,deterministic_kill,before_append,PASS_BACKEND_LIMIT,"benchmark-only manifest stayed recording, so startup classifies the copied session incomplete",recording,read_write,incomplete,200,200,200,200,0,true,true,e115124c1f0aecbdd6065a5b944582f2f50b4d48f3903cdd9aafcd961956e511,e115124c1f0aecbdd6065a5b944582f2f50b4d48f3903cdd9aafcd961956e511
framing,deterministic_kill,before_commit,PASS_BACKEND_LIMIT,"benchmark-only manifest stayed recording, so startup classifies the copied session incomplete",recording,read_write,incomplete,240,200,200,200,0,true,true,e115124c1f0aecbdd6065a5b944582f2f50b4d48f3903cdd9aafcd961956e511,e115124c1f0aecbdd6065a5b944582f2f50b4d48f3903cdd9aafcd961956e511
framing,deterministic_kill,after_commit_before_manifest,PASS_BACKEND_LIMIT,backend commit is ahead of the last persisted acceptance watermark; recovery must validate the copy and must not infer an exact accepted-loss count,recording,read_write,incomplete,240,200,240,240,3360900,true,true,f1724d299134a1a1e4294b30a1658018ab58e6b55357917721fdafa500d8aea2,f1724d299134a1a1e4294b30a1658018ab58e6b55357917721fdafa500d8aea2
framing,deterministic_kill,after_manifest_replace,PASS_BACKEND_LIMIT,"benchmark-only manifest stayed recording, so startup classifies the copied session incomplete",recording,read_write,incomplete,240,240,240,240,3649500,true,true,f1724d299134a1a1e4294b30a1658018ab58e6b55357917721fdafa500d8aea2,f1724d299134a1a1e4294b30a1658018ab58e6b55357917721fdafa500d8aea2
