"timestamp","pid","role","cpuPct","privateBytes"
"2026-08-30T20:59:31.4901752+02:00","3312","gpu-process","0","190545920"
"2026-08-30T20:59:31.4901752+02:00","3632","renderer-unassigned","0","53239808"
"2026-08-30T20:59:31.4901752+02:00","24168","browser","0","49336320"
"2026-08-30T20:59:31.4901752+02:00","13576","renderer-unassigned","0","65400832"
"2026-08-30T20:59:31.4901752+02:00","28260","utility","0","13725696"
"2026-08-30T20:59:31.4901752+02:00","19300","go-host","0","71020544"
"2026-08-30T20:59:31.4901752+02:00","26488","crashpad","0","2453504"
"2026-08-30T20:59:31.4901752+02:00","23460","utility","0","9469952"
"2026-08-30T21:00:31.5098502+02:00","3312","gpu-process","0","142467072"
"2026-08-30T21:00:31.5098502+02:00","3632","renderer-unassigned","0","52555776"
"2026-08-30T21:00:31.5098502+02:00","24168","browser","1","47022080"
"2026-08-30T21:00:31.5098502+02:00","13576","renderer-unassigned","1","86532096"
"2026-08-30T21:00:31.5098502+02:00","28260","utility","0","14110720"
"2026-08-30T21:00:31.5098502+02:00","19300","go-host","2","76103680"
"2026-08-30T21:00:31.5098502+02:00","26488","crashpad","0","3035136"
"2026-08-30T21:00:31.5098502+02:00","23460","utility","0","9289728"
"2026-08-30T21:01:31.6489528+02:00","3312","gpu-process","0","142422016"
"2026-08-30T21:01:31.6489528+02:00","3632","renderer-unassigned","0","58449920"
"2026-08-30T21:01:31.6489528+02:00","24168","browser","1","47661056"
"2026-08-30T21:01:31.6489528+02:00","13576","renderer-unassigned","1","120107008"
"2026-08-30T21:01:31.6489528+02:00","28260","utility","0","14491648"
"2026-08-30T21:01:31.6489528+02:00","19300","go-host","2","74858496"
"2026-08-30T21:01:31.6489528+02:00","26488","crashpad","0","3035136"
"2026-08-30T21:01:31.6489528+02:00","23460","utility","0","9289728"
"2026-08-30T21:02:31.5637979+02:00","3312","gpu-process","0","142331904"
"2026-08-30T21:02:31.5637979+02:00","3632","renderer-unassigned","0","63352832"
"2026-08-30T21:02:31.5637979+02:00","24168","browser","1","49344512"
"2026-08-30T21:02:31.5637979+02:00","13576","renderer-unassigned","1","128229376"
"2026-08-30T21:02:31.5637979+02:00","28260","utility","0","15572992"
"2026-08-30T21:02:31.5637979+02:00","19300","go-host","2","75722752"
"2026-08-30T21:02:31.5637979+02:00","26488","crashpad","0","2940928"
"2026-08-30T21:02:31.5637979+02:00","23460","utility","0","9289728"
"2026-08-30T21:03:31.6856673+02:00","3312","gpu-process","0","142303232"
"2026-08-30T21:03:31.6856673+02:00","3632","renderer-unassigned","0","68300800"
"2026-08-30T21:03:31.6856673+02:00","24168","browser","1","49377280"
"2026-08-30T21:03:31.6856673+02:00","13576","renderer-unassigned","1","132235264"
"2026-08-30T21:03:31.6856673+02:00","28260","utility","0","15572992"
"2026-08-30T21:03:31.6856673+02:00","19300","go-host","2","76230656"
"2026-08-30T21:03:31.6856673+02:00","26488","crashpad","0","2891776"
"2026-08-30T21:03:31.6856673+02:00","23460","utility","0","9289728"
"2026-08-30T21:04:31.6262234+02:00","3312","gpu-process","0","149647360"
"2026-08-30T21:04:31.6262234+02:00","3632","renderer-unassigned","0","73412608"
"2026-08-30T21:04:31.6262234+02:00","24168","browser","1","49967104"
"2026-08-30T21:04:31.6262234+02:00","13576","renderer-unassigned","1","137416704"
"2026-08-30T21:04:31.6262234+02:00","28260","utility","0","15663104"
"2026-08-30T21:04:31.6262234+02:00","19300","go-host","2","75087872"
"2026-08-30T21:04:31.6262234+02:00","26488","crashpad","0","2969600"
"2026-08-30T21:04:31.6262234+02:00","23460","utility","0","9420800"
"2026-08-30T21:05:31.5209994+02:00","3312","gpu-process","0","144453632"
"2026-08-30T21:05:31.5209994+02:00","3632","renderer-unassigned","0","78483456"
"2026-08-30T21:05:31.5209994+02:00","24168","browser","1","51167232"
"2026-08-30T21:05:31.5209994+02:00","13576","renderer-unassigned","1","144789504"
"2026-08-30T21:05:31.5209994+02:00","28260","utility","0","16904192"
"2026-08-30T21:05:31.5209994+02:00","19300","go-host","2","77090816"
"2026-08-30T21:05:31.5209994+02:00","26488","crashpad","0","2965504"
"2026-08-30T21:05:31.5209994+02:00","23460","utility","0","9392128"
"2026-08-30T21:06:31.5535931+02:00","3312","gpu-process","0","161742848"
"2026-08-30T21:06:31.5535931+02:00","3632","renderer-unassigned","0","82505728"
"2026-08-30T21:06:31.5535931+02:00","24168","browser","1","51990528"
"2026-08-30T21:06:31.5535931+02:00","13576","renderer-unassigned","1","147070976"
"2026-08-30T21:06:31.5535931+02:00","28260","utility","0","16760832"
"2026-08-30T21:06:31.5535931+02:00","19300","go-host","2","76902400"
"2026-08-30T21:06:31.5535931+02:00","26488","crashpad","0","2899968"
"2026-08-30T21:06:31.5535931+02:00","23460","utility","0","9326592"
"2026-08-30T21:07:31.5552895+02:00","3312","gpu-process","0","142118912"
"2026-08-30T21:07:31.5552895+02:00","3632","renderer-unassigned","0","68509696"
"2026-08-30T21:07:31.5552895+02:00","24168","browser","1","53407744"
"2026-08-30T21:07:31.5552895+02:00","13576","renderer-unassigned","1","149794816"
"2026-08-30T21:07:31.5552895+02:00","28260","utility","0","17907712"
"2026-08-30T21:07:31.5552895+02:00","19300","go-host","2","77885440"
"2026-08-30T21:07:31.5552895+02:00","26488","crashpad","0","2895872"
"2026-08-30T21:07:31.5552895+02:00","23460","utility","0","9302016"
"2026-08-30T21:08:31.5787867+02:00","3312","gpu-process","0","158982144"
"2026-08-30T21:08:31.5787867+02:00","3632","renderer-unassigned","0","73363456"
"2026-08-30T21:08:31.5787867+02:00","24168","browser","1","53465088"
"2026-08-30T21:08:31.5787867+02:00","13576","renderer-unassigned","1","148115456"
"2026-08-30T21:08:31.5787867+02:00","28260","utility","0","17911808"
"2026-08-30T21:08:31.5787867+02:00","19300","go-host","2","77692928"
"2026-08-30T21:08:31.5787867+02:00","26488","crashpad","0","2895872"
"2026-08-30T21:08:31.5787867+02:00","23460","utility","0","9302016"
"2026-08-30T21:09:31.6172555+02:00","3312","gpu-process","0","141991936"
"2026-08-30T21:09:31.6172555+02:00","3632","renderer-unassigned","0","77062144"
"2026-08-30T21:09:31.6172555+02:00","24168","browser","1","51773440"
"2026-08-30T21:09:31.6172555+02:00","13576","renderer-unassigned","1","151379968"
"2026-08-30T21:09:31.6172555+02:00","28260","utility","0","15609856"
"2026-08-30T21:09:31.6172555+02:00","19300","go-host","1","78209024"
"2026-08-30T21:09:31.6172555+02:00","26488","crashpad","0","2961408"
"2026-08-30T21:09:31.6172555+02:00","23460","utility","0","9342976"
